bm,bn,en,zh-CN,hi,es,fr
মোরতা ডায়াবেটিস আছে,আমার ডায়াবেটিস আছে,I have diabetes,我患有糖尿病,मुझे मधुमेह है,tengo diabetes,j'ai du diabète
হারদিন ব্যায়াম করিক,প্রতিদিন ব্যায়াম করুন,Exercise every day,每天锻炼身体,हर दिन व्यायाम,Haga ejercicio todos los días,Faites de l'exercice tous les jours
তি কোন ক্লাশে তামকরর,তুমি কোন ক্লাসে পড়,What class are you in?,你在哪个班？,आप किस वर्ग मे हैं?,¿En qué clase estás?,Dans quelle classe es-tu ?
মি ক্লশ টেনে তামকরৌরি,আমি দশম শ্রেণিতে পড়ি,I study in 10th standard,我学习第十个标准,मैं 10वीं कक्षा में पढ़ता हूं,estudio en décimo estándar,J'étudie en 10ème norme
পলীক্ষা কুমবাকা,পরীক্ষা কবে,when is the exam,什么时候考试,परीक्षा कब है,cuando es el examen,quand est l'examen
লেরিক অহান পাকরলেগ,বইটা পড়েছ,read the book,读这本书,किताब पढ़ें,lee el libro,lire le livre
মাস্টর লাগতৈ,গৃহশিক্ষক লাগবে,Need a tutor,需要导师,एक शिक्षक की आवश्यकता है,Necesito un tutor,Besoin d'un tuteur
ফল কুমবাকা নিকুলতইগ,ফলাফল কবে দেবে,When will the result be given?,什么时候给出结果？,रिजल्ट कब आएगा?,¿Cuándo se dará el resultado?,Quand le résultat sera-t-il donné ?
বিশ্ববিদ্যালয়ে ভর্তি অনা আহের,বিশ্ববিদ্যালয়ে ভর্তি হতে চাই,I want to get admission in university,我想被大学录取,मैं यूनिवर्सिटी में दाखिला लेना चाहता हूं,quiero ser admitido en la universidad,Je veux être admis à l'université
অংক এহান হারপা নারলু,অঙ্কটা বুঝতে পারছি না,I don't understand the number,我不明白这个数字,मुझे संख्या समझ नहीं आ रही है,no entiendo el numero,je ne comprends pas le numéro
তামকরানির লেইরকি কুরাং পানা,পাঠ্যবই কোথায় পাব,Where can I get the textbook?,我在哪里可以获得教科书？,मुझे पाठ्यपुस्तक कहां मिल सकती है?,¿Dónde puedo conseguir el libro de texto?,Où puis-je me procurer le manuel ?
আজি ক্লাস বন্ধ,আজ ক্লাস বন্ধ,Class is closed today,今天停课,आज क्लास बंद है,La clase está cerrada hoy.,La classe est fermée aujourd'hui
আজি নিয়াম গরম,আজকে অনেক গরম,It's very hot today,今天很热,आज बहुत गर्मी है,hace mucho calor hoy,Il fait très chaud aujourd'hui
বরন দের,বৃষ্টি হচ্ছে,it's raining,下雨了,बारिश हो रही है,Está lloviendo,Il pleut
পে হান নেগা,ছাতা নিয়ে যাও,take an umbrella,带把伞,एक छाता ले लो,toma un paraguas,prends un parapluie
জারগান পরিসে,শীত পড়েছে,It's winter,现在是冬天,शीत ऋतु चल रही है,es invierno,C'est l'hiver
দিনহান মেগালা,আকাশ মেঘলা,The sky is cloudy,天空多云,आसमान में बादल छाए हुए हैं,el cielo esta nublado,Le ciel est nuageux
রেলিগ নিকুলের,রোদ উঠেছে,the sun is up,太阳升起来了,सूरज उग आया है,el sol ha salido,le soleil est levé
বৌবরন আহের,ঝড় আসছে তৌ,The storm is coming,暴风雨即将来临,तूफ़ान आ रहा है,la tormenta esta llegando,La tempête arrive
আজিকা ঠান্ডা ইসে,আজ বেশ ঠান্ডা,It's quite cold today,今天天气很冷,आज काफ़ी ठंड है,hace bastante frio hoy,Il fait assez froid aujourd'hui
উম ফুতি পিদ,গরম কাপড় পরো,Wear warm clothes,穿暖和的衣服,गर्म कपड़े पहनें,Use ropa abrigada,Portez des vêtements chauds
গোলাহার পানি বাড়ের,বন্যার পানি বাড়ছে,Flood water is rising,洪水水位正在上涨,बाढ़ का पानी बढ़ रहा है,El agua de las inundaciones está aumentando,Les eaux de crue montent
মি আজিয়েই আহিতৌ,আমি আজই আসব,I will come today,我今天就来,मैं आज आऊंगा,vendré hoy,je viendrai aujourd'hui
মি কালি আহিতৌ,আমি কাল আসব,i will come tomorrow,我明天来,मैं कल आउंगा,vendré mañana,je viendrai demain
মি এবাকা ব্যস্ত,আমি এখন ব্যস্ত,I am busy now,我现在很忙,मेँ अभी व्यस्त हूँ,estoy ocupado ahora,je suis occupé maintenant
মি পিসে মাততৌ,আমি পরে কথা বলব,I will talk later,我稍后再说,मैं बाद में बात करूंगा,hablaré más tarde,je parlerai plus tard
তি কুরাং থারগো,তুমি কোথায় আছ,where are you,你在哪,आप कहां हैं,dónde estás,où es-tu
তি কিতা কররগো,তুমি কী করছ,what are you doing,你在干什么,आप क्या कर रहे हो,qué estás haciendo,que fais-tu
তি ব্যস্ত অসতগো,তুমি কি ব্যস্ত,are you busy,你忙吗,क्या आप व्यस्त हैं,estás ocupado,es-tu occupé
তি ফ্রি আসতগো,তুমি কি ফাঁকা আছ,are you free,你有空吗,क्या तुम आज़ाद हो,Estás libre,êtes-vous libre
মি তোরকা বাসেয়া আসু,আমি তোমার জন্য অপেক্ষা করছি,i am waiting for you,我在等你,मेरे द्वारा आपकी प्रतीक्षा की जा रही है,estoy esperándote,je vous attends
তি আহে পারতেইগো,তুমি কি আসতে পারবে,can you come,你能来吗,क्या आप आ सकते हैं,¿puedes venir?,peux-tu venir
মি আহে নুয়ারিম,আমি আসতে পারব না,i can't come,我不能来,में नही आ,no puedo venir,je ne peux pas venir
মি হৎনা করতৌ,আমি চেষ্টা করব,i will try,我会尝试,मैं कोशिश करूँगा,intentaré,j'essaierai
কোনো সমস্যা নেই,কোনো সমস্যা নেই,No problem,没问题,कोई बात नहीं,Ningún problema,Aucun problème
চিন্তা না করি,চিন্তা করো না,don't worry,不用担心,चिंता मत करो,no te preocupes,Ne vous inquiétez pas
